週,期間,タスク
1週目,仕様書 & 画面設計完了、環境構築,要件定義の確定 / Flutterプロジェクト作成 / GitHub & Discord通知構築
2週目,ユーザー認証・サポーター登録機能の実装①,Firebase Authentication設定 / Google・メール認証UI
3週目,ユーザー認証・サポーター登録機能の実装②,Firestore設計 / サポーターの登録・承認UI
4週目,相談投稿・検索・予約機能の実装①,投稿フォーム / カテゴリ選択 / Firestore連携
5週目,相談投稿・検索・予約機能の実装②,検索機能 / フィルター / 予約用カレンダーUI
6週目,チャット・通話・決済機能の実装①,Discord連携チャットUI / Jitsi通話準備 / Stripe連携
7週目,チャット・通話・決済機能の実装②,決済機能完成 / 実際のチャット体験整備
8週目,レビュー機能 & 自動ペイアウトの実装①,レビュー投稿 / 評価表示 / ペイアウト構成
9週目,レビュー機能 & 自動ペイアウトの実装②,支払管理UI / 定期送金ロジック
10週目,テスト & デバッグ,全機能テスト / UI修正 / エラー処理整備
11週目,SNS & YouTubeで事前マーケティング①,事前登録ページ / SNS投稿 / 動画作成
12週目,SNS & YouTubeで事前マーケティング②,β版リリース準備 / デモ発表 / 最終調整
